Rank,Club_Name,location,capacity,Website,text
76,Elsewhere,"Brooklyn, NY, USA","2,000+",elsewherebrooklyn.com,"Elsewhere has spent the past year chugging along as one of NYC’s prime locations for both DJ-led parties and live music, with a focus on the underground end of the spectrum — “radical nights for radical days ahead”, as the venue’s motto goes. Its vision of what’s “radical” in terms of deck talent is impressively broad, with DJs like The Blessed Madonna, a tag-teaming Hudson Mohawke and Nikki Nair, and DJ Mag cover stars Coco & Breezy all plying their trade within the club’s four rooms in recent months. The crown, somewhat literally, is the club’s super fun rooftop, which this season will be hosting Detroit’s Floorplan, the house traditionalists of Soul Summit, and jungle devotee Nia Archives, among others. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
77,Tresor,"Berlin, Germany","1,000",tresorberlin.com,"Undoubtedly one of Berlin’s most treasured clubs since its inception in 1991, Tresor returns to the poll for another year. In the basement, clubbers can enjoy techno and electro in all its forms, from Sunil Sharpe and DJ Stingray 313 to resident DJs like Chloe Lula and Kerrie. A slew of imprints, like WIGS and International Chrome, have hosted the floor too. Every Wednesday night, New Faces spotlights rising techno artists, while upstairs in Globus, it’s a lighter affair. Labels like Rings of Neptune and OYE Records have played the room, with plenty more brilliant names and platforms lined up for 2024. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
78,Home,"Sydney, Australia","2,500",homesydney.com,"Overlooking Sydney’s grand Darling Harbour, Home is a three-level, purpose-built superclub that's been serving the city for over two decades. One of only a few Australian venues to ever make the Top 100 Clubs poll, its music policy is suitably broad, with d&b and UKG rubbing shoulders with reggaeton, hard dance and even a male revue show. Fedde Le Grande was amongst the stars who also passed through in 2024, closing Home’s Mardi Gras celebrations. Homemade, the club’s in-house Saturday night, offers mini-festival vibes every week over four rooms. And for those who don’t want to stop, Morning Glory takes advantage of the location for a stunning sunrise session. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
79,Beachclub,"Montréal, Canada","10,000",beachclub.com,"Opened in 1995, Beachclub, situated 25 minutes’ drive from central Montréal, is North America’s largest outdoor club. In the words of its owners, Beachclub is more of a “party island” than just a venue, and its huge beachfront location encompasses multiple rooms, terraces, bars, and VIP areas. It really comes to life in the summer months, and with its huge capacity, it books only the biggest names. In the last year, David Guetta headlined, and tickets sold out in a minute and a half, while other stars to play at Beachclub include EDM artists Martin Garrix, Alesso and Zedd, and household names like Sean Paul. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
80,Sound,"Los Angeles, CA, USA",500,soundnightclub.com,"We love ourselves a sunken dancefloor, but the one at the Hollywood nitery Sound is but one of the myriad reasons why this standby has been packing them in since it’s 2013 debut. There’s the top-tier sound system; there’s the lighting system; there’s even refurbished wood panelling from a home of Frank Sinatra. But what really brings party people into its 8,000-square-foot space are the line-ups; the past few months have seen everyone from the UK-born, Ibiza-based Nightmares On Wax to NYC house hero Todd Terry to West Coast heroes like Miguel Migs and Marques Wyatt working their magic. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
81,POCPOC Garden,"Ho Chi Minh City, Vietnam","1,100",facebook.com/pocpocgarden,"POC POC GARDEN has always focused on getting the all-important basics right; what was a vacant urban space in 2020 is now a club decked out with an advanced Martin Audio sound system, and sleek, modern decor with eye-catching art installations. As well as hosting the biggest EDM names and events in the region, the club also welcomes dance crews from Cuba, and has a giant water tank with daily mermaid performances and many other spectacular visual affairs that make use of a huge ceiling hoist system. It is unique, to say the least. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
82,After Caposile,"Venice, Italy",800,,"aftercaposile.it Located on former farmland, After Caposile boasts two open-air garden stages in summer, and an indoor club for the winter months that is lovingly known as the “spaceship” and opened in 2019 inside a renovated farmhouse. Described as a ""magic garden"" by its team, Chris Stussy, Apollonia, Franco Cinelli, ZIP, David Morales, Satoshi Tomiie, tINI, Sonja Moonear, Enzo Siragusa, Praslesh, Rossi., and East End Dubs have all played on After Caposile’s d&b Audiotechnik sound system recently. Resident DJs include Francesco Maddalena, Maggio, Manuel De Lorenzi, Yaar Kü, Twineffect, and Miss Wallace. Having opened a second outdoor stage in 2023, the team hope to launch a second indoor space later this year. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
83,MUZE,"Nairobi, Kenya",400,muzeclub.com,"Electric Avenue is Nairobi’s nightlife hub — a loud thoroughfare of bars, booze and beats in the busy Westlands district. A corner of town where hedonism is the norm, historically many of the most significant dancefloors in the city have based themselves here. Five-year-old MUZE is one example. Although guests come from across the world, bookings lean towards artists from Africa and its diaspora, with selectors like Thakzin, Bun Xapa and Zerb taking the roof off in 2023 via the finely tuned Funktion-One rig. Already one of Kenya’s leading spaces for four-to-the-floor, a transformational refurbishment has now pushed those high standards further. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
84,Versuz,"Hasselt, Belgium","3,000",,"versuz.be VERSUZ is always looking to improve. In 2013, it started life anew as a superclub in the sprawling resort of Park H. Between 2020 and 2022, the team bolstered the club’s already opulent decor with a new LED wall and state-of-the-art PK Sound audio system. Now it’s a dream venue for both the world’s biggest EDM DJs and the club’s long list of resident DJs. With this consistent mix of superstars and rising talent, VERSUZ continues to place itself among the biggest and best clubs in the world without ever losing sight of its community close to home. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
85,De School,"Amsterdam, Netherlands",750,,"deschoolamsterdam.nl De School has long been a lynchpin of the Amsterdam scene. The club that was indeed once a school is a warren-like space with different rooms that offer some proper no-nonsense clubbing experiences, complete with belching smoke machines, sweaty atmospheres, and the best house and techno DJs in the underground. It also offers visual and art installations, sculpture, a lovely garden area... but not anymore. After closing in 2020, it later reopened for a final 16-month run, which ended in January 2024. Since April this year, the space has become a new club, Tilla Tec, complete with a queer-focused tattoo parlour and gym, studio spaces, and even a coffee roasting company. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
86,Nova,"San Diego, CA, USA","1,180",novasd.com,"Acquired by Pasquale Rotella’s Insomniac Events in 2022, NOVA SD is a sister club to Exchange LA, and is located on the former site of Omnia Nightclub in San Diego's Gaslamp Quarter. Climbing six places in the poll this year, the venue features an L’Acoustics sound system and has seen Timmy Trumpet, Patrick Topping, Nicole Moudaber, Alan Walker, San Holo, Deorro, Madeon, Lily Palmer, Green Velvet, Layton Giordani, Steve Aoki, KSHMR, Sub Focus, and Afrojack all perform recently. Nights at NOVA SD include Factory 93, Dreamstate, Bassrush, Lost in Dreams, Day Trip, Insomniac, Space Yacht and Gasolina, as well as the popular ’90/’00s-themed party, Time Machine. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
87,Koko,"London, UK","1,410",,"koko.co.uk Pass by KOKO, situated at the Mornington Crescent end of Camden High Street, in the early evenings and you’ll likely find a huge queue outside. This is due to the on-point bookings that have helped invigorate the London scene since it reopened in April 2022 after a devastating fire in 2020. Just some of the highlights from the last 12 months: Kerri Chandler’s four-week residency, The Weeknd’s official afterparty with Kaytranada, a Laurent Garnier special disco set, No Art with ANOTR, Ben UFO curates, Jeff Mills, amapiano sensation Uncle Waffles, and 30 Years of Metalheadz. The Grade Two-listed theatre, formerly the Camden Palace, has a long and storied history; back in the Top 100 Clubs for the first time since 2008, its next chapter is proving brighter than ever. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
88,Barbarella's Discotheque,"Pirovac, Croatia","3,000",thegardencroatia.com,"Croatia offers a pretty non-stop programme of festivals from May until September each summer, and many of them — including Dekmantel Selectors, Defected, Dimensions and Outlook Origins — stop by the legendary Barbarella's Discotheque. It's an open-air venue nestled on the beach in Tisno surrounded by lush vegetation, and whether dancing under the hot sun or a starry night sky, it offers premium sound and sympathetic lighting that all add up to a cosy, organic and bohemian experience soundtracked by some of the best in the game. Few clubs in this list have the throwback, uncommercialised feel of this one, which is what makes it so great. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
89,EXE Club,"Sofia, Bulgaria",950,,"execlub.bg EXE is the most dominant name in Sofia’s dance music listings, with the crew regularly drawing in just under 1,000 punters to their bunker three nights per week. A recently upgraded sound system has further improved the subterranean house and techno haunt, which is home to residents like Pavel Petrov, Peepou, Vorick and Bagerziev. Bookings over the past year have included Patrick Mason, Konstantin Sibold, SPFDJ, Joris Voorn, Sama’ Abdulhadi, Claptone, Themba and Solardo. Meanwhile, external parties, a five-day festival at coastal sister venue EXE Beach in June, and December’s 10th anniversary all betray a packed calendar at HQ and beyond. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
90,Index,"Dublin, Ireland","1,200",indexdublin.com,"Starting as a techno-focused brand in 2017 and operating in a small venue on Dublin’s Arran Quay, Index has since evolved into a leading platform for quality house and techno. It’s been a year of change for the club, moving to a new purpose-built space on Liberty Lane and, as a result, gaining an increased capacity and L’Acoustics sound system. Artists from Armand Van Helden to Indira Paganotto have played Index over the last 12 months, supported by a plethora of local names. Following a summer break, Index returns in September for another season of exceptional line-ups and parties. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
91,Noxx,"Hanoi, Vietnam",300,instagram.com/noxxciti,"It’s a first appearance in DJ Mag’s Top 100 Clubs list for former restaurant NOXX in Hanoi, Vietnam, a high-end intimate venue located in the city centre. Fully decked out with an EDM-festival-style cyberpunk DJ booth, a formidable d&b Audiotechnik sound system and space-age laser lighting rig/LED screens, NOXX employs two resident DJ duos: Vietnam’s Gaztik and Not Afraid. Over the last 12 months, the club’s played host to DJs including Solarstone, Sound Rush, Blastoyz, Plastik Funk and Revive, making a strong start in its campaign “to become the finest EDM clubs in Vietnam”. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
92,Cromie Disco,"Castellaneta, Italy","3,000",,"cromiedisco.it There’s something about Italian clubs and Italian clubbers that sets them apart from the rest of us. Stylish as they come, decadent to the max, and full of bright ideas to make a night out an experience to cherish. CROMIE DISCO has been doing it like this for over 20 years or so. And it’s in part the club’s circular dancefloor that welcomes everyone together and makes for an extra special time. Built on an ancient amphitheatre, the tone is set. And with Loco Dice, Indira Paganotto, Marco Carola and Ilario Alicante amongst the headliners playing there, it’s small wonder to see CROMIE DISCO in the Top 100 Clubs once again in 2024. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
93,Rebel,"Toronto, Canada","3,900",rebeltoronto.com,"A new entry to the poll this year, REBEL is a huge 45,000-square-foot club and music venue located on the Polson Pier on the edge of Lake Ontario in Toronto. Originally the Docks Nightclub & Concert Theater, it launched as REBEL in 2016 after a reported $10 million renovation, and now boasts four rooms, a 65-foot stage, and a grand terrace with views of the city skyline. Guests playing at the venue include Black Coffee, CamelPhat, MK, Claude VonStroke, John Digweed, Meduza, i_o, Green Velvet, Illenium, and Cosmic Gate, while production is led by Adam Hummel, who took care of art direction and motion design for Beyoncé’s Formation World Tour. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
94,Hardpop,"Ciudad Juárez, Mexico",400,hardpopclub.com,"Hardpop is often heralded as one of Mexico’s most respected clubbing institutions, and its return to the DJ Mag Top 100 Clubs is testament to that. “Hardpop was born in a way of seeking freedom and a place for holding a community in search of a proper club experience,” explains David Teruel, the booking and branding manager of Hardpop. Founded in 2006, the club puts international DJs alongside Mexico’s homegrown talent, and has built a dedicated fanbase. In the past year it hosted Carl Craig, Kobosil, Magda, Stacey Pullen and Chloé Caillet to name a few, and continued to improve the clubbing experience with upgrades to the Danley Sound Labs audio setup and a brand new LED lighting system. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
95,Shelter,"Amsterdam, The Netherlands","1,100",,"shelteramsterdam.nl A custom-built venue deep in the foundations of North Amsterdam’s A’DAM Tower, Shelter has become a firm favourite of the Dutch capital’s thriving scene, but still opted to switch things up with a major refurb this year. The Funktion-One-powered main room now has LED panels all over the ceiling to create a “dynamic, visual environment,” marketing manager Stacey van Heeringen tells us, plus there’s now extra space on the dancefloor and a new space called RESTROOM. The club also has all-new branding, and new events series in partnership with Seth Troxler, AMÉMÉ, Prunk and more, with a focus on house in all its forms, Italo disco, and a spot of techno for good measure. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
96,New City Gas,"Montréal, Canada",670,newcitygas.com,"Industrial warehouse venue, New City Gas, used to be home to a gas lighting company of the same name, responsible for lighting up the streets of Montréal in the 19th century. Nowadays it’s promoters like DSTRKT and Nuits Bazart that bring the spark, booking some of the world’s biggest EDM DJs to rattle the building’s red brick walls every weekend. DVLM, Alok and Lost Frequencies have been highlights over the past year — with Don Diablo and Eli Brown already lined up for 2024. Nuits Bazart, on the other hand, offers a more nuanced experience, pairing fine dining with a side order of sumptuous beats. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
97,Spazio 900,"Rome, Italy","2,000",,"spazionovecento.it Situated in EUR, the business district of Rome, Spazio Novecento is a captivating building surrounded by imposing white marble colonnades. It may sound an unlikely place to find a club, but then promoters NEON have made transforming historic buildings their trademark, juxtaposing this history with state-of-the-art sound and visuals. With the venue’s temple-like grandness lit up by banks of lights and lasers, ravers come to worship. The likes of Funk Tribu and Cristobal Pescer provide a soundtrack that stretches from tech-house through hard techno to rolling psytrance.  Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
98,And Club,"Johannesburg, South Africa",600,,"andclub.co.za And Club has humble beginnings — techno weekly TOY TOY needed a space, and found one in the second dancefloor of Johannesburg rave institution Carfax. Sectioning this off as a separate venue, the party turns 13 this September and remains the flagship of an address also known for gqom, deep house and drum & bass. Boasting a meaty Void rig inside, and a vintage Meyer system in the garden, bookings are equally uncompromising. DVS1, Freddy K, Jennifer Cardini, Sandrien, Setoac Mass, Dasha Rush, Truncate, and Volvox joined ressies Dogstarr, Fabio, Black Lake, Illing, Gforce, Bonging Zulu, and Terry Aronis in the past year. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
99,Octava,"Bogotá, Colombia",750,octavaclub.com,"Located in Colombia’s capital within the lively Chapinero district, Octava was founded nine years ago with a mission to “create a vibrant hub that would elevate the electronic music scene in our city to new heights,” explains José Russo, CMCO and bookings director of the club. In the last 12 months, the space has been completely renovated, including fitting a new sound system and hi-res LED screen on the main floor. As well as booking international talent — from Roger Sanchez to Lee Burridge — the club celebrates local artists, with a roster of 13 resident DJs. This year, Octava will be announcing branded showcases across many other cities. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
100,La Feria,"Santiago, Chile",400,clublaferia.com,"If you've heard of one club in Chile it will undoubtedly be La Feria, a now-25-year-old venue that was once a large house in a bohemian neighbourhood. These days it is a hotbed of electronic music activity that boasts a Funktion-One sound system and sleek visual edge designed by Mexican designer Exme. In the last year, the club — which is run entirely on recycled energy — has opened a new space next to the main room that focuses on new local talent, while international guests have included the Martinez Brothers, Paco Osuna and Carl Cox. Thrust Publishing Ltd, Unit 3, 30-40 Underwood Street, London, N1 7JQ, United Kingdom."
