,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,,Character,Origin,Residence,Age,Height,Blood Type,English Name,Meaning,Type,Age at Death,LiveAction Portrayal,Alias,First Appearance,Admiral,Main Ship,Total Bounty,Affiliation,Patriarch,Captain,Occupation,Leaders,Residency,12th Leader,13th Tobe Leader,Kingdom,Boss,Matriarch,GovernorGeneral, Number,Size,First appearance,Region,Netflix English VA,Birth Name,Japanese VA,Funi English VA,Features,Weight,Fruit Debut,Usage Debut,Previous User, key,Vessel,Homeland,Completion Date,Length,Affiliates
654,ルリス,Rurisu,Lulis,Chapter 608; Episode 527,Mermaid Cafe,Dancer,Alive,,Amanda Gish,Lulis,Grand Line (Ryugu Kingdom; Fish-Man Island),Mermaid Cove (Coral Hill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,ル・フェルド,Ru Ferudo,Du Feld,Chapter 860; Episode 828,Lu Feld Conglomerate; Underworld; MADS (former),Emperor of the Underworld,Unknown,December 29th,Ray Hurd,Lu Feld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,ラッキー・ルウ,Rakkī Rū,Lucky Roux;Lucky Roo (WT100),Chapter 1; Episode 4,Red Hair Pirates,Pirate; Senior Officer; Combatant; Cook,Alive,July 6th,John Burgmeier,Lucky Roux,South Blue,,23 (debut);33 (pre-timeskip);35 (after timeskip),"241 cm (7'11"")",F,,,,,Ntlanhla Morgan Kutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,近海の主,Kinkai no Nushi,"""Local Sea Monster"";Master of the Near Sea (video games);Lord of the Coast (live-action series)",Chapter 1; Episode 4,,Foosha Village's local Sea King,Alive,September 14th,,Lord of the Coast,East Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,ロンズ,Ronzu,Lonz,Chapter 550; Episode 459,"Marines, Giant Squad",Vice Admiral,Alive,June 2nd,Ben Phillips,Lonz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,ローラ,Rōra,Lola,Chapter 451; Episode 345,Thriller Bark Pirates,General Zombie,Deceased,,Alex Moore,Lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,ロキ,Roki,Loki,Chapter 858; Episode 827 (flashback),,Prince,Alive,,,Loki,,Elbaf,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,リップ・ドウティ,Rippu Douti,Lip Doughty,Chapter 600; Episode 519,Fake Straw Hat Crew; His own crew,Pirate; Captain,Alive,,Christopher Wehkamp,Lip Doughty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,リトルオーズJr.,Ritoru Ōzu Junia,Little Oars Jr.,Chapter 554; Episode 463,Little Pirates; Subordinate of the Whitebeard Pirates,Pirate; Captain,Unknown,February 12th,Jeremy Schwartz,Little Oars Jr.,Grand Line,,70 (debut)72 (after timeskip),"60 m (196'10"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,ライオンブタ,Raionbuta,N/A,Chapter 22; Episode 18,Animals of the Island of Rare Animals,,Alive,,,Lionbuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,ラインズ,Rainzu,Lines,Chapter 44; Episode 21,,Marine Seaman First Class,Alive,December 27th,Shinobu Satouchi,Lines,East Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,リンドバーグ,Rindobāgu,Lindbergh,Chapter 904; Episode 880,Revolutionary Army (South Army),South Army Commander of the Revolutionary Army,Alive,May 21st,Mike Haimoto,Lindbergh,,Baltigo (former); Momoiro Island,37,"149 cm (4'11"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,ライムジュース,Raimujūsu,Lime Juice,Chapter 1; Episode 4,Red Hair Pirates,Pirate; Senior Officer,Alive,,Jessie James Grelle,Limejuice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,リリー,Rirī,Lily,Chapter 223; Episode 146,Bellamy Pirates,,Unknown,,Trina Nishimura,Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,リナリア,Rinaria,N/A,Chapter 1079,Night Butterfly Pirates; Red Hair Pirates,Pirate Captain,Alive,,"""Igniting Linaria"" (着火のリナリア, Chakka no Rinaria?)",Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,悪（リリス）,Ririsu,Lilith,Chapter 1061; Episode 1090,Marines (SSG),,Alive,,Aya Hirano,Lilith,,Egghead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,レオネロ,Reonero,Leonero,Chapter 552; Episode 461,Spade Pirates,Pirate,Alive,,Yusuke Handa,Leonero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Nui Nui no Mi,Reo,Leo,Chapter 710; Episode 640,Tontatta Kingdom; Straw Hat Grand Fleet (Tontatta Pirates),Captain of the Fifth Ship of the Straw Hat Grand Fleet; Captain of the Tontatta Pirates;,Alive,July 24th,Rachel Glass,Leo,Grand Line (Green Bit),,25,"23 cm (9"")",S,Stitch-Stitch Power (VIZ and Funimation);Sew-Sew Fruit (One Piece Official YouTube Channel),Sewing,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,ブラッグメン,Buraggu Men,Brag Men,,,,,,,Brag Men,,,,,,,,,,,,Chapter 115; Episode 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,"Inu Inu no Mi, Model: Dachshund",Rassū,Lassoo,Chapter 160; Episode 103,New Spiders Cafe; Baroque Works (former),Cafe Mascot; Pet,Alive,January 4th,Christopher Bevins,Lassoo,,,,,,"Mutt-Mutt Fruit, Dachshund Type (Viz);Mutt-Mutt Fruit (4Kids);Mutt-Mutt Fruit Fruit, Dachshund Variety (Funimation)",Dog,Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,ラスキー,Rasukī,Lasky,Chapter 392; Episode 276,CP9 (former),Cipher Pol Agent,Alive,,N/A,Laskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,ラオG（ジー）,Rao Jī,Lao G,Chapter 682; Episode 608,Donquixote Pirates,Pirate Officer,Alive,October 7th,Jim White,Lao G,North Blue,Spider Miles (former); Dressrosa (former),70,"157 cm (5'2"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,ラフィット,Rafitto,"Lafitte (VIZ, uncut dub);Raffit (edited dub);Laffitte (WT100)",Chapter 234; Episode 151,Blackbeard Pirates,Pirate; Navigator; Sheriff (former); Titanic Captain (Captain of the Fifth Ship); Chief of Staff,Alive,March 13th,Christopher Bevins,Laffitte,West Blue,,39 (debut)41 (after timeskip),"340 cm (11'2"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,レモンチーズ,Remonchīzu,Lemoncheese,Chapter 906; Episode 884,Levely,Queen,Alive,,Corey Pettit,Lemoncheese,,Bestland Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,レディツリー,Redi Tsurī,Lady Tree,Chapter 873; Episode 844,,,Alive,,Olivia Swasey,Lady Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,ラキューバ,Rakyūba,Lacuba,Chapter 501; Episode 394,N/A,Pirate; Captain (former); Slave (former),Alive,May 31st,Brad Jackson,Lacuba,Grand Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,ラクロワ,Rakurowa,Lacroix,Chapter 550; Episode 459,"Marines, Giant Squad",Vice Admiral,Alive,June 8th,Brandon Luna,Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,キューキュー,Kyūkyū,Firstaid,"Chapter 334, Episode 237",,Doctor,Alive,,Masaya Takatsuka,Kyukyu,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,ラブーン,Rabūn,Laboon;Raboon (Odex),Chapter 102; Episode 62,Rumbar Pirates (former); Crocus,,Alive,September 16th,,Laboon,West Blue,Reverse Mountain (Twin Cape),51 (debut)53 (after timeskip),"400 m (1312'4"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,キュイーン,Kyuīn,Kuween,Chapter 755; Episode 692,Donquixote Pirates (former),Pirate; SMILE Factory Manager (former),Alive,May 30th,Lauren Landa,Kyuin,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,キュージ,Kyūji,Kyuji,"Chapter 302 (cover), Episode 381 (newspaper)",Marines,Chef,Alive,,,Kyuji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,キュロス,Kyurosu,Kyros,Chapter 702; Episode 631,Corrida Colosseum (former); Riku Royal Army,Gladiator (former); Riku Royal Army Captain (former),Alive,September 22nd,Ivan Jasso,Kyros,Grand Line (Dressrosa),,44,"298 cm (9'9"")",S,,,,,,"""Thunder Soldier of Rage"" (怒りの雷兵, Ikari no Kaminari Hei?, Viz: ""The Angry Lightning Soldier"");, ""The Invincible Gladiator""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Bari Bari no Mi,Kurozumi Semimaru,Kurozumi Semimaru,Chapter 965; Episode 965,Wano Country (Kurozumi Family),Biwa hōshi,Deceased,,Cory J  Phillips,Kurozumi Semimaru,,Wano Country (Flower Capital),,,,Barrier-Barrier Fruit,Barrier,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Kibi Kibi no Mi,Kurozumi Tama,Kurozumi Tama,Chapter 911; Episode 893,Kurozumi Family,Kunoichi in training; Kasa weaver,Alive,March 3rd,Sarah Wiedenheft,Kurozumi Tama,,"Amigasa Village, Kuri, Wano Country",8,"108 cm (3'6½"")",F,Millet-Millet Fruit,Millet,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Hie Hie no Mi,Kuzan,Kuzan,Chapter 303; Episode 225,Blackbeard Pirates; Marines (resigned),Pirate; Titanic Captain (Captain of the Tenth Ship); Admiral (former); Vice Admiral (former),Alive,September 21st,Jason Douglas;Bob Carter (Unlimited Adventure),Kuzan,South Blue,,47 (debut)49 (after timeskip),"298 cm (9'9¼"")",F,Ice-Ice Fruit (Funimation);Chilly-Chilly Fruit (VIZ),Chilly,Logia,,,"Aokiji (青雉, Aokiji?, literally meaning ""Blue Pheasant"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,クロツル,Kurotsuru,Blackbeard,Chapter 276 (cover),,Doctor,Unknown,,,Kurotsuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Mane Mane no Mi,Kurozumi Higurashi,Kurozumi Higurashi,Chapter 965; Episode 965,Wano Country (Kurozumi Family),,Deceased,,Linda Young,Kurozumi Higurashi,,Wano Country (Flower Capital),,,,Clone-Clone Fruit,Imitation,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,"Hebi Hebi no Mi, Model: Yamata no Orochi",Kurozumi Orochi,Kurozumi Orochi,Chapter 927; Episode 921,Wano Country (Kurozumi Family);Beasts Pirates (former),Shogun of Wano Country (former),Deceased,September 23rd,Keith Silverstein,Kurozumi Orochi,Grand Line (Wano Country),Wano Country (Flower Capital),,"350 cm (11'6"")",XF,"Snake-Snake Fruit, Model: Eight Headed Serpent",Snake; Eight-Headed Snake,Mythical Zoan,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Fude Fude no Mi,Kurozumi Kanjūrō,Kurozumi Kanjuro,Chapter 700; Episode 629,Kurozumi Family; Kozuki Family (undercover); Nine Red Scabbards (undercover); Ninja-Pirate-Mink-Samurai Alliance (undercover); Beasts Pirates (former),Theatre Performer (former); Spy; Samurai; Retainer of the Kozuki Family (undercover),Deceased,July 21st,Ben Bryant,Kurozumi Kanjuro,,Wano Country (Kuri)Wano Country (Kibi) (Former),,"347 cm (11'5"")",X,Brush-Brush Fruit,Brush,Paramecia,34 (born 54 years ago),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,クロ沢,Kurosawa,N/A,Chapter 920; Episode 911,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,Samurai,Alive,,,Kurosawa,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,クロマーリモ,Kuromārimo,Kuromarimo,Chapter 131; Episode 79,"Bliking Pirates (disbanded), Drum Kingdom (former)",Magistrate; Pirate,Alive,January 26th,Charles Baker,Kuromarimo,Grand Line (Drum Kingdom),,28 (debut)30 (after timeskip),"186 cm (6'1"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,クロオビ,Kuro'obi,Kuroobi,Chapter 69; Episode 31,Arlong Pirates; Sun Pirates (former),Pirate; Pirate Officer,Alive,October 25th,Patrick Seitz,Kuroobi,"Grand Line (Ryugu Kingdom, Fish-Man Island)",Fish-Man District (former); Arlong Park (former),36 (debut)38 (after timeskip),"252 cm (8'3"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,黒駒,Kurokoma,Kurokoma,Chapter 960 (mentioned),Kurokoma Family‎,,Unknown,,,Kurokoma,,Flower Capital; Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,クロ,Kuro,Kuro,Chapter 23; Episode 9,Black Cat Pirates,Pirate Captain (former); Butler (former),Alive,April 22nd,Kent Williams,Kuro,East Blue,Syrup Village (former),33 (debut)35 (after timeskip),207 cm (6’9”),X,,,,,Alexander Maniatis,"""Klahadore"" (クラハドール, Kurahadōru?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,クマシー,Kumashī,Kumacy,Chapter 449; Episode 343,Thriller Bark Pirates (Perona),"Perona's servant, Wild Zombie Commander-in-Chief",Deceased,September 4th,Ray Hurd,Kumashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,九忍（クニュン）,Kunyun,Kunyun,Chapter 1020; Episode 1042,Beasts Pirates (Numbers),,Alive,,Dani Chambers,Kunyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,クニさん,Kuni-san,Kuni,Chapter 927; Episode 919,Kyoshiro Family,,Alive,,Cory J Phillips,Kuni,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,くれは,Kureha,Kureha,Chapter 134; Episode 80,Sakura Kingdom; Isshi-100,Head-Doctor of the Sakura Kingdom; Leader of the Isshi-100,Alive,September 8th,Julie Mayfield,Kureha,Grand Line (Drum Kingdom),Drum Island,139 (debut)141 (after timeskip),"188 cm (6'2"")",S,,,,,,"""Doctorine"" (ドクトリーヌ, Dokutorīnu?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,くまエー,Kumaē,Kuma-A,SBS Volume 66,,Pet,Alive,,,Kumae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,クマドリヤマンバ子,Kumadori Yamanba-ko,Kumadori Yamanbako,SBS Volume 44,Kumadori,Assassin (former),Alive,,,Kumadori Yamanbako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,クマ五郎,Kumagorō,Kumagoro,Chapter 929; Episode 922,,,Alive,,Cris George,Kumagoro,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,クマドリ,Kumadori,Kumadori,Chapter 375; Episode 264,CP0; CP9 (former),Cipher Pol Agent,Alive,February 20th,Andrew Love,Kumadori,South Blue,,34 (debut)36 (after timeskip),"338 cm  (11'1"")",XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
706,クーカイ,Kūkai,Kukai,Chapter 552;Episode 461,Spade Pirates,Samurai; Pirate,Alive,,,Kukai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Muchi Muchi no Mi,Kujaku,Kujaku,Chapter 966 (cover); Episode 1090,Marines (SWORD),Rear Admiral,Alive,,,Kujaku,,,,,,Whip-Whip Fruit,Whip,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Toki Toki no Mi,Kōzuki Toki,Kozuki Toki;Kouzuki Toki (OPCG),Chapter 919; Episode 893,Kozuki Family; Amatsuki Family; Whitebeard Pirates (former); Roger Pirates (former),,Deceased,January 19th,Scarlett McAlister,Kozuki Toki,,Wano Country (Kuri),,"190 cm (6'3"")",X,Time-Time Ability (VIZ);Time-Time Fruit (Funimation),Time,Paramecia,36 (born around 830 years ago),,,,,,,,,,,,,,,,,,,,,,,,"Amatsuki Toki (天月トキ, Amatsuki Toki?)",,,,,,,,,,,,,
709,クリーク,Kurīku,Krieg,Chapter 45; Episode 21,Krieg Pirates,Pirate Captain/Admiral,Alive,September 19th,Andy Mullins,Krieg,East Blue,,42 (debut)44 (after timeskip),"243 cm (8'0"")",XF,,,,,Milton Schorr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,光月スキヤキ,Kōzuki Sukiyaki,Kozuki Sukiyaki,Chapter 911; Episode 894,Kozuki Family,Swordsmith; Shogun (former),Alive,May 19th,John Burgmeier,Kozuki Sukiyaki,,"Wano Country (Amigasa Village, formerly Flower Capital)",81,"214 cm (7'0"")",F,,,,,,"""Tenguyama Hitetsu"" (天狗山飛徹, Tenguyama Hitetsu?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,光月おでん,Kōzuki Oden,Kozuki Oden;Kouzuki Oden (OPCG),Chapter 920; Episode 910,Kozuki Family; Roger Pirates (former); Whitebeard Pirates (former),Samurai; Daimyo; Pirate (former); 2nd Division Commander (former),Deceased,February 22nd,Robbie Daymond,Kozuki Oden,Grand Line (Wano Country),Wano Country (Kuri); (Flower Capital) (former),,"382 cm (12'6"")",F,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,"Uo Uo no Mi, Model: Seiryu (Artificial)",Kōzuki Momonosuke,"Kozuki Momonosuke (VIZ); Kouzuki Momonosuke (WT100, OPCG)",Chapter 684; Episode 609,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance (disbanded),Shogun,Alive,October 7th,Corinne Sudberg (young);Justin Briner (adult),Kozuki Momonosuke,Grand Line (Moby Dick),Wano Country (Kuri),8 (born 28 years ago)(biologically 28),"110 cm (3'7"") (child body)",X,"Fish-Fish Fruit, Model: Azure DragonFish-Fish Fruit, Azure Dragon Model","Fish, Azure Dragon",Artificial Mythical Zoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,小山,Koyama,Koyama,Chapter 960; Episode 960,Kozuki Family,,Unknown,,Meg McClain,Koyama,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,光月日和,Kōzuki Hiyori,Kozuki Hiyori;Kouzuki Hiyori (OPCG),Chapter 909; Episode 892,Kozuki Family,Oiran,Alive,December 23rd,Molly Searcy,Kozuki Hiyori,Grand Line (Moby Dick),Wano Country (Kuri; Flower Capital),26,"170 cm (5'7"")",XF,,,,,,"""Komurasaki"" (小紫, Komurasaki?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,コゼ & パッキー,Koze to Pakkī,KozePacky,Chapter 96; Episode 48,Yes Pirates,Pirates,Alive,May 27th (Koze)December 9th (Packy),,Koze and Packy,East Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,古徹,Kotetsu,Kotetsu,Chapter 912; Episode 897 (mentioned),,Swordsmith,Deceased,,,Kotetsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,コーザ,Kōza,Koza,Chapter 163; Episode 93,Arabasta Kingdom;Suna Suna Clan (former);Rebel Army (former),Environmental Minister;Rebel Army leader (former);Suna Suna Clan leader (former);,Alive,May 26th,Todd Haberkorn,Koza,Grand Line (Arabasta Kingdom),"Yuba, Arabasta; Katorea, Arabasta (Former)",20 (debut)22 (after timeskip),"177 cm (5'10"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,コタツ,Kotatsu,Kotatsu,Chapter 552; Episode 461,Spade Pirates,Pirate,Alive,,Ryōta Takeuchi,Kotatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,コップ,Koppu,Kopp,Chapter 325; Episode 231,Franky Family,"Dismantler, Bounty Hunter",Alive,,Jeff Plunk,Kop,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,コマネ,Komane,Comane,"Chapter 903, Episode 879",Lulusia Kingdom,Princess (former),Unknown,,Molly Searcy,Komane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,コング,Kongu,Kong,Chapter 0; Episode 0,World Government; Marines (former),Commander-in-Chief; Fleet Admiral (former),Alive,May 9th,Jim Foronda,Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,コマッコフ,Komakkofu,N/A,SBS Volume 108,Marines,Cook,Alive,,"""Winter Cuisine"" Komakkov (冬料理のコマッコフ, Fuyu Ryōri no Komakkofu?)",Komakkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,コンブ,Konbu,Kombu (Viz);Konbu (Funimation),Chapter 657; Episode 582,,,Alive,,Amanda Gish,Konbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,ココロ,Kokoro,Kokoro,Chapter 322; Episode 229,Tom's Workers,"Stationmaster; ""Lovely"" secretary of Tom (former)",Alive,October 5th,Juli Erickson;CJ Critt (Episode 967-),Kokoro,Grand Line (Ryugu Kingdom; Fish-Man Island),Water 7; Fish-Man Island (former),70 (debut)72 (after timeskip),"168 cm (5'6"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,狛ちよ,Komachiyo,Komachiyo,Chapter 910; Episode 892,Kurozumi Tama,,Alive,,Irwin Daye,Komachiyo,,"Amigasa Village, Kuri, Wano Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,コ十郎,Kojūrō,N/A,Chapter 926; Episode 918,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,Samurai,Alive,,Ethan Gallardo,Kojuro,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,小糸,Koito,N/A,Chapter 930; Episode 923,,,Alive,,,Koito,,Wano Country (Ebisu Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,幸べエ,Kōbē,Kobei,Chapter 929; Episode 922,,Landlord,Alive,,Bruce DuBose,Kobe,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,コーダ,Kōda,Koda,"Chapter 285 (cover), Episode 381 (newspaper)",Marines,Chef,Alive,,,Koda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,コアラ,Koara,Koala,Chapter 622; Episode 541,Revolutionary Army; Sun Pirates (former); Slavery (former),Revolutionary Army Officer; Assistant Fish-Man Karate Instructor; Slave (former),Alive,October 25th,Jeannie Tirado,Koala,,Baltigo (former); Foolshout Island (former); Mary Geoise (former); Momoiro Island,"11 (Flashback, debut)23 (present)","160 cm (5'3"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,きせ川,Kisegawa,Kisegawa,Chapter 929; Episode 922,,Geisha,Alive,,Lexi Nieto,Kisegawa,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,キットン,Kitton,Kitton,Chapter 523; Episode 418,,,Alive,,Megan Emerick,Kitton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,コビー,Kobī,"Koby (VIZ, Odex),Coby (Funimation, 4Kids)",Chapter 2; Episode 1,"Marines (SWORD), Marine 153rd Branch (former); Alvida Pirates (defected)","Marine Captain; Master Chief Petty Officer (promoted), Chore Boy (promoted); Pirate Ship Caretaker (former)",Alive,May 13th,Leah Clark (Episode 1-69);Micah Solusod (Episode 313+),Koby,East Blue,Shells Town (former); Goat Island (former),16 (debut)18 (after timeskip),"167 cm (5'6"")",F,,,,,Morgan Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,モズ&キウイ,Mozu & Kiui,Mozu and Kiwi,Chapter 329; Episode 233,Franky Family,Bartenders; Dismantlers; Bounty Hunters,Alive,January 7th (Mozu); September 1st (Kiwi),Mozu: Morgan GarrettKiwi: Martha Harms,Mozu and Kiwi,"Grand Line (Water 7, Slums)",Water 7,"19 (Mozu, debut); 21 (Mozu, after timeskip)20 (Kiwi, debut); 22 (Kiwi, after timeskip)","187 cm (6'1"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,キノコ,Kinoko,Mushroom,Chapter 536; Episode 437,Buggy Pirates,"Prisoner (Former), Pirate",Alive,,"At least 100,000,000",Kinoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,キンガ,Kinga,Kinga,Chapter 570; Episode 467,Whitebeard Pirates,Pirate Captain,Alive,,,Kinga,,,Over 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,キングデュー,Kingudyū,Kingdew,Chapter 562; Episode 461,Whitebeard Pirates,11th Division Commander; Pirate,Alive,November 13th,Patric Carroll,Kingdew,Grand Line,,Over 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,キングバーム,Kingubāmu,Kingbaum,Chapter 836; Episode 797,Big Mom Pirates; Charlotte Family,Master of the Seducing Woods,Unknown,July 13th,Jeremy Inman,Kingbaum,Grand Line (Totto Land),Whole Cake Island (Seducing Woods),,"2340 cm (76'9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,キンデレラ,Kinderera,Kinderella,Chapter 261 (cover); Episode 778,Evil Black Drum Kingdom,Miss Universe; Queen,Alive,January 20th,Rachel Thompson,Kinderella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
